"time","ID","lamygdala","ramygdala","lFFA","rFFA","lSTS","rSTS","lMMPFC","rMMPFC"
0,"001",0.24703366,-0.55173105,0.08999151,-1.1532348,-0.37146038,-0.350564,0.3092099,0.9339239
0,"002",NA,NA,NA,NA,NA,NA,NA,NA
0,"003",0.14023183,0.35732755,-1.0799626,0.98090094,-0.7935732,0.7377475,0.8782563,0.3272977
0,"004",-0.027625034,1.4151455,1.6571534,1.683178,2.0702157,1.4740874,-1.8517501,-2.0265746
0,"005",0.9647844,1.0967419,-0.34488538,-2.2266624,1.6914895,0.26907974,1.0104446,2.2130466
0,"006",0.35731912,0.28441662,0.87471235,-0.17689645,1.4543116,0.088443056,-0.13043256,-0.95046693
0,"007",-0.55713564,-0.60952,-0.83975047,-1.2553314,0.33517104,1.0840454,0.23795298,0.93342745
0,"008",0.5727074,0.88069004,-1.8226789,-0.32427585,-0.89498425,-0.6900274,0.9431923,0.29294047
0,"010",-0.027249565,0.4662913,-1.8556111,-1.1995542,0.23283057,-0.8672799,0.24877456,0.013502342
0,"011",1.1127758,0.49199945,1.1856579,-0.17953792,0.3015897,0.15865307,0.879295,0.23058105
0,"012",-0.5057162,-2.0680692,-1.9558232,-2.1853805,0.3777121,-0.76566994,-1.5798118,-1.6487926
0,"013",-1.3131478,-1.7328045,-1.1187165,-1.4605099,-0.573267,-0.8155667,-0.02353342,-0.73531103
0,"014",-0.31055462,0.7019949,0.35048833,-0.74954706,0.97504455,1.336117,-1.117049,0.6947426
0,"015",1.6780194,2.725606,2.0057168,1.5220447,-1.0078367,-0.0052384585,0.656253,1.0220958
0,"016",1.1929622,1.564915,-1.0990107,-2.9409862,0.5557041,-0.8055464,-2.0879366,-1.7718273
0,"017",1.3187355,0.67158866,-0.008861721,-0.7982967,2.040673,-0.49629754,0.4478553,0.00017704368
0,"018",1.7309645,1.2600603,0.04751877,0.938144,2.1692266,-0.37613526,0.84385264,0.040769547
0,"019",-1.3890499,-1.4077512,-0.06333849,-0.5687085,1.1820977,-0.99001944,-1.5046647,-1.5339597
0,"020",-0.61457175,-0.3172849,-0.2855235,-1.3510087,0.06993971,0.09657063,-0.6594085,-0.9907438
0,"021",0.6062931,-0.24428035,-0.30080208,-2.293314,1.6091993,-1.1419445,-3.297235,-3.4141517
0,"022",0.12753284,-0.071706064,-0.25466052,-1.3379747,0.07194221,0.2639649,-0.40916815,-0.76157933
0,"023",1.0972586,0.3061641,0.34260306,-0.07397523,1.1550578,1.3497918,0.21754067,-0.6411239
0,"024",-1.4445227,-1.3994424,-1.3459442,-0.51943797,0.7519262,0.8263632,1.1978582,1.7581666
0,"025",0.58816415,0.6536665,0.26212493,1.7616966,1.2221959,-0.7323322,-0.5925129,0.20721355
0,"026",1.140034,0.4560277,0.24120674,-0.59543335,1.5930325,1.4237669,1.4718734,0.83731556
0,"027",-7.9719553,-5.181443,2.3010664,-3.2391388,1.9384207,-1.8783128,-0.76269245,2.9854465
0,"029",0.46838525,1.2505289,0.47470427,-0.26710933,0.9835373,-0.47242078,0.64681464,-0.9282259
0,"030",1.391648,0.9818187,-0.42338046,0.06339036,0.774316,-0.2758039,2.319715,1.6067364
0,"031",1.3889085,1.7505649,-0.52940524,-0.03229797,0.7992524,0.012737572,1.0859791,0.19642058
0,"032",-1.1700926,-3.2013624,1.079994,-0.941658,0.041915275,-0.17814341,-1.3367136,-0.88405514
0,"033",-1.8471334,-1.4516662,-1.4695055,-1.5879688,-0.1469006,-0.1019877,-0.3199524,-1.0973495
0,"034",-0.23933978,-0.2404412,0.40974408,0.12603614,0.8061544,-0.43319196,-0.8187376,-1.2681566
0,"035",0.4710966,-0.19013788,-1.134075,0.14336464,-0.9292353,0.9788281,-0.5503842,-1.1578815
0,"036",0.57912546,-1.9160932,-1.7916992,-2.6489947,-0.71950686,0.14739245,3.54071,1.7049809
0,"037",0.3336493,0.041735157,0.43234387,-0.29985654,1.5364586,0.6459975,-0.45365375,-0.6761424
0,"038",-0.6448773,-1.6519177,-0.035208598,-1.8034798,-0.33057112,0.31325412,-1.2198683,-0.9003822
0,"039",-0.64347494,-0.6965537,-0.25050375,-0.6388815,0.9031073,-0.20238754,-0.5694318,-1.1746918
0,"041",-1.9838165,-1.6444839,-1.29387,-1.8569645,0.38506436,0.22283515,-0.97518504,-0.77754545
0,"042",-1.7042227,-1.8565189,-1.1199722,0.081253216,0.103062555,-0.8253272,-0.052160315,0.4208141
0,"043",-0.7971796,-1.47845,-1.6797634,0.18232124,-0.146351,-0.6674017,-0.53896254,-0.87829417
0,"044",-2.0041585,-1.2546605,-0.2822109,-1.4263353,-0.48580885,-0.5246518,1.5278383,-0.7545569
0,"045",-1.4541942,-1.1783115,-1.2855173,0.7218846,0.29416507,-0.8058666,-0.8993603,-1.2131346
0,"046",-0.70774865,0.07481997,-1.7043684,0.005115998,1.123993,-1.9150549,-0.35433793,-1.2355458
0,"047",0.3368092,-0.3787811,-0.10425003,0.15995383,0.48807508,-0.258597,0.66620696,-0.16515209
0,"048",-0.92715454,-0.6580652,-1.3711095,1.033993,0.1924412,-2.1083305,-0.4710288,-0.6109971
0,"049",-0.57887197,-0.7180889,1.0125324,-1.2880522,0.53037316,-0.7978789,1.0227621,0.52809185
0,"050",-2.3081958,-1.7820361,-1.9172955,-1.6667893,-1.0151682,-0.58603305,-2.2183833,-0.9840118
