"onset","trial_type","end","event","max_lamygdala_timepoint","max_ramygdala_timepoint","max_lFFA_timepoint","max_rFFA_timepoint","max_lSTS_timepoint","max_rSTS_timepoint","max_lMMPFC_timepoint","max_rMMPFC_timepoint"
9,"faces",10,"F01",10,9,10,9,10,10,10,9
12,"faces",13,"F09",12,12,13,13,13,13,13,13
16,"faces",17,"F11",17,17,17,17,17,17,17,17
19,"faces",21,"F04",20,21,19,19,19,19,19,19
58,"faces",59,"F10",58,59,58,58,59,59,59,59
69,"faces",73,"F12",69,69,73,69,69,69,69,69
86,"faces",88,"F07",88,88,88,88,88,88,88,86
91,"faces",94,"F08",92,92,92,92,94,94,94,94
106,"faces",108,"F06",106,106,106,108,107,107,108,106
115,"faces",117,"F05",117,116,115,115,115,115,117,115
151,"faces",152,"F02",152,152,151,151,152,152,152,152
159,"faces",161,"F03",159,160,160,160,161,161,161,161
8,"scenes",10,"S07",8,8,10,9,10,10,8,8
17,"scenes",25,"S02",23,21,22,19,23,19,19,19
50,"scenes",52,"S03",51,52,52,52,50,50,52,52
61,"scenes",62,"S04",61,61,61,61,61,61,62,62
67,"scenes",70,"S12",69,69,67,67,69,69,67,67
79,"scenes",80,"S11",79,79,80,80,79,79,79,80
101,"scenes",102,"S10",101,101,101,102,102,102,102,102
113,"scenes",115,"S06",114,114,115,115,115,115,114,114
121,"scenes",122,"S08",122,122,121,121,121,121,121,121
127,"scenes",129,"S05",128,128,129,127,129,127,129,129
133,"scenes",135,"S09",135,135,133,135,133,133,135,133
162,"scenes",165,"S01",164,164,162,162,162,162,162,162
