time,sub,run,half,fROI-lFFA-lffa-lloc-splithalf-01,fROI-lFFA-lffa-lloc-splithalf-02,fROI-rFFA-rffa-rloc-splithalf-01,fROI-rFFA-rffa-rloc-splithalf-02
0,pixar001,run-01,splithalf-01,,0.11946328,,-1.1286482
1,pixar001,run-01,splithalf-01,,0.061024956,,-1.3003635
2,pixar001,run-01,splithalf-01,,0.6158043,,-0.5716504
3,pixar001,run-01,splithalf-01,,-0.041417096,,-0.890992
4,pixar001,run-01,splithalf-01,,-1.2677042,,-1.1501452
5,pixar001,run-01,splithalf-01,,,,
6,pixar001,run-01,splithalf-01,,,,
7,pixar001,run-01,splithalf-01,,,,
8,pixar001,run-01,splithalf-01,,,,
9,pixar001,run-01,splithalf-01,,,,
10,pixar001,run-01,splithalf-01,,,,
11,pixar001,run-01,splithalf-01,,1.4984028,,-1.5150652
12,pixar001,run-01,splithalf-01,,0.15356314,,-0.40046588
13,pixar001,run-01,splithalf-01,,0.35233992,,-1.4408848
14,pixar001,run-01,splithalf-01,,1.0591725,,0.43727332
15,pixar001,run-01,splithalf-01,,0.9014931,,0.5966949
16,pixar001,run-01,splithalf-01,,0.56749237,,-0.574203
17,pixar001,run-01,splithalf-01,,-0.4254529,,-1.8204792
18,pixar001,run-01,splithalf-01,,-0.038172714,,-1.4949553
19,pixar001,run-01,splithalf-01,,0.3818565,,-1.7469248
20,pixar001,run-01,splithalf-01,,-0.47935405,,-2.1787124
21,pixar001,run-01,splithalf-01,,-0.16700903,,-0.5092759
22,pixar001,run-01,splithalf-01,,-1.161236,,-0.27697104
23,pixar001,run-01,splithalf-01,,,,
24,pixar001,run-01,splithalf-01,,-0.36335492,,0.31363374
25,pixar001,run-01,splithalf-01,,-0.4321639,,-0.060562678
26,pixar001,run-01,splithalf-01,,,,
27,pixar001,run-01,splithalf-01,,-0.34947485,,0.1701998
28,pixar001,run-01,splithalf-01,,-0.74890834,,-1.1217906
29,pixar001,run-01,splithalf-01,,-1.0813758,,-1.174621
30,pixar001,run-01,splithalf-01,,-0.9389225,,-1.2036428
31,pixar001,run-01,splithalf-01,,-1.3686409,,-1.0677407
32,pixar001,run-01,splithalf-01,,-1.2582757,,-0.8317814
33,pixar001,run-01,splithalf-01,,-1.5077908,,-0.87306386
34,pixar001,run-01,splithalf-01,,-1.0351123,,0.20023647
35,pixar001,run-01,splithalf-01,,-1.032573,,0.7047051
36,pixar001,run-01,splithalf-01,,-0.78188115,,0.4496216
37,pixar001,run-01,splithalf-01,,-0.63849896,,-0.14246684
38,pixar001,run-01,splithalf-01,,-0.31115928,,0.09620856
39,pixar001,run-01,splithalf-01,,-0.1873548,,0.26595926
40,pixar001,run-01,splithalf-01,,0.11346465,,0.70762885
