time,sub,run,half,fROI-lMMPFC-lmmpfc-ls2-splithalf-01,fROI-lMMPFC-lmmpfc-ls2-splithalf-02,fROI-rMMPFC-rmmpfc-rs2-splithalf-01,fROI-rMMPFC-rmmpfc-rs2-splithalf-02
0,pixar001,run-01,splithalf-01,,-0.17779493,,0.57610047
1,pixar001,run-01,splithalf-01,,0.37678012,,-0.48149785
2,pixar001,run-01,splithalf-01,,0.40593547,,0.6481898
3,pixar001,run-01,splithalf-01,,0.00046485066,,-0.2617646
4,pixar001,run-01,splithalf-01,,-0.27787113,,-1.1636136
5,pixar001,run-01,splithalf-01,,,,
6,pixar001,run-01,splithalf-01,,,,
7,pixar001,run-01,splithalf-01,,,,
8,pixar001,run-01,splithalf-01,,,,
9,pixar001,run-01,splithalf-01,,,,
10,pixar001,run-01,splithalf-01,,,,
11,pixar001,run-01,splithalf-01,,0.6008056,,0.5703455
12,pixar001,run-01,splithalf-01,,0.37380266,,0.05951371
13,pixar001,run-01,splithalf-01,,0.19878396,,0.11387229
14,pixar001,run-01,splithalf-01,,0.5155573,,-0.09035077
15,pixar001,run-01,splithalf-01,,-0.39425677,,-1.3302219
16,pixar001,run-01,splithalf-01,,-0.38431334,,0.3092442
17,pixar001,run-01,splithalf-01,,0.100237966,,0.62842673
18,pixar001,run-01,splithalf-01,,-0.59036833,,-0.38204437
19,pixar001,run-01,splithalf-01,,-0.21623412,,0.5537975
20,pixar001,run-01,splithalf-01,,0.11476882,,0.49591866
21,pixar001,run-01,splithalf-01,,-0.36422652,,-1.8558986
22,pixar001,run-01,splithalf-01,,-0.023212183,,-0.41694766
23,pixar001,run-01,splithalf-01,,,,
24,pixar001,run-01,splithalf-01,,0.24130726,,0.34977627
25,pixar001,run-01,splithalf-01,,-0.19447446,,-0.4983654
26,pixar001,run-01,splithalf-01,,,,
27,pixar001,run-01,splithalf-01,,0.8274201,,1.7699566
28,pixar001,run-01,splithalf-01,,0.50350595,,0.8561246
29,pixar001,run-01,splithalf-01,,0.26805192,,0.3858743
30,pixar001,run-01,splithalf-01,,0.66136926,,-0.074962795
31,pixar001,run-01,splithalf-01,,0.028571714,,-0.31119782
32,pixar001,run-01,splithalf-01,,0.09333292,,-0.87026536
33,pixar001,run-01,splithalf-01,,-0.094198056,,-1.2190025
34,pixar001,run-01,splithalf-01,,0.14462028,,-0.5974163
