time,sub,run,FS-left-amygdala,FS-right-amygdala
0,pixar001,run-01,0.24703366,-0.55173105
1,pixar001,run-01,0.6281504,-1.1381605
2,pixar001,run-01,0.65993863,-1.0419309
3,pixar001,run-01,1.2560297,-0.70249027
4,pixar001,run-01,1.193087,-0.7047315
5,pixar001,run-01,,
6,pixar001,run-01,,
7,pixar001,run-01,,
8,pixar001,run-01,,
9,pixar001,run-01,,
10,pixar001,run-01,,
11,pixar001,run-01,1.7231961,-0.9363157
12,pixar001,run-01,2.040507,0.0059669437
13,pixar001,run-01,1.9924335,-0.3452208
14,pixar001,run-01,2.4045494,0.63975066
15,pixar001,run-01,1.8410773,0.15185964
16,pixar001,run-01,0.6791812,-0.76410943
17,pixar001,run-01,0.5328013,-1.2624217
18,pixar001,run-01,0.4431698,-1.1800067
19,pixar001,run-01,0.69053453,-1.5316736
20,pixar001,run-01,0.67466426,-1.501743
21,pixar001,run-01,1.5904412,-0.88793373
22,pixar001,run-01,2.042067,0.20357859
23,pixar001,run-01,,
24,pixar001,run-01,0.90274376,-0.8125359
25,pixar001,run-01,0.95133716,-0.6360993
26,pixar001,run-01,,
27,pixar001,run-01,0.47422495,-0.80352134
28,pixar001,run-01,0.7106326,-0.67521405
29,pixar001,run-01,0.5591598,-1.494789
30,pixar001,run-01,0.6640187,-1.6921129
31,pixar001,run-01,1.3184619,-1.4964671
32,pixar001,run-01,1.2623371,-1.4095334
33,pixar001,run-01,1.2255988,-0.8239209
34,pixar001,run-01,1.7267787,-0.50324667
35,pixar001,run-01,1.7849246,0.02977016
36,pixar001,run-01,1.469101,-0.16343407
37,pixar001,run-01,0.74932384,-0.5488354
38,pixar001,run-01,0.8922466,-0.6769967
39,pixar001,run-01,0.762248,-0.71811974
40,pixar001,run-01,1.0356963,-0.42457405
41,pixar001,run-01,0.9797984,-0.6056946
42,pixar001,run-01,1.1134288,-0.17425883
43,pixar001,run-01,0.8831413,-0.11406846
44,pixar001,run-01,0.5705967,0.058743138
45,pixar001,run-01,0.81071246,0.039652135
46,pixar001,run-01,0.95117253,0.33354306
47,pixar001,run-01,0.36943823,-0.24851128
48,pixar001,run-01,0.55301243,-0.2630041
49,pixar001,run-01,1.0099112,0.36124533
50,pixar001,run-01,0.85149413,0.9389707
51,pixar001,run-01,0.14261527,-0.046335187
52,pixar001,run-01,-0.30770904,-0.24867865
53,pixar001,run-01,-0.12621841,-0.40450597
54,pixar001,run-01,0.65731734,0.30126357
55,pixar001,run-01,0.6914121,0.2764342
56,pixar001,run-01,0.61770016,0.22286546
57,pixar001,run-01,0.88714594,0.49187043
58,pixar001,run-01,0.5865557,0.43120027
59,pixar001,run-01,-0.030322079,0.03062975
60,pixar001,run-01,0.9532718,0.17375009
61,pixar001,run-01,0.16058658,1.0428094
62,pixar001,run-01,-0.48915207,0.35548878
63,pixar001,run-01,-0.44418353,-0.680345
64,pixar001,run-01,-0.12918986,-0.04150158
65,pixar001,run-01,0.1626802,-0.35350955
66,pixar001,run-01,-0.5622462,-0.7373614
