time,sub,run,half,fROI-lFFA-lffa-lloc-splithalf-01,fROI-lFFA-lffa-lloc-splithalf-02,fROI-lMMPFC-lmmpfc-ls2-splithalf-01,fROI-lMMPFC-lmmpfc-ls2-splithalf-02,fROI-lSTS-lsts-lloc-splithalf-01,fROI-lSTS-lsts-lloc-splithalf-02,fROI-rFFA-rffa-rloc-splithalf-01,fROI-rFFA-rffa-rloc-splithalf-02,fROI-rMMPFC-rmmpfc-rs2-splithalf-01,fROI-rMMPFC-rmmpfc-rs2-splithalf-02,fROI-rSTS-rsts-rloc-splithalf-01,fROI-rSTS-rsts-rloc-splithalf-02
0,pixar001,run-01,splithalf-01,,0.08999151,,0.3092099,,-0.37146038,,-1.1532348,,0.9339239,,-0.350564
1,pixar001,run-01,splithalf-01,,0.030574584,,0.61622334,,-0.48157892,,-1.2117364,,-0.34212673,,-0.9613884
2,pixar001,run-01,splithalf-01,,0.63827026,,1.170407,,0.7547225,,-0.4979395,,0.9045655,,-0.7305597
3,pixar001,run-01,splithalf-01,,-0.03794366,,0.08085547,,0.27833644,,-0.91247195,,-0.24055739,,-0.35237145
4,pixar001,run-01,splithalf-01,,-0.95431423,,0.23749189,,1.3430815,,-1.0182698,,-1.182699,,-0.04735713
5,pixar001,run-01,splithalf-01,,,,,,,,,,,,
6,pixar001,run-01,splithalf-01,,,,,,,,,,,,
7,pixar001,run-01,splithalf-01,,,,,,,,,,,,
8,pixar001,run-01,splithalf-01,,,,,,,,,,,,
9,pixar001,run-01,splithalf-01,,,,,,,,,,,,
10,pixar001,run-01,splithalf-01,,,,,,,,,,,,
11,pixar001,run-01,splithalf-01,,1.4783214,,1.9311432,,1.5190057,,-1.4699688,,0.97156465,,-0.60390824
12,pixar001,run-01,splithalf-01,,0.26687965,,1.0368241,,1.4989667,,-0.37856406,,0.08712293,,0.5828902
13,pixar001,run-01,splithalf-01,,0.44753486,,1.1676645,,1.1268966,,-1.2918793,,0.11713408,,-0.6091687
14,pixar001,run-01,splithalf-01,,1.1806328,,0.79477346,,0.73938245,,0.47959632,,0.026788617,,0.79418075
15,pixar001,run-01,splithalf-01,,0.9439184,,-0.16684905,,-0.8261425,,0.62495965,,-1.3677608,,-0.6089021
16,pixar001,run-01,splithalf-01,,0.54295784,,0.24978104,,-0.32230178,,-0.26018897,,0.24511833,,-1.0258974
17,pixar001,run-01,splithalf-01,,-0.49563462,,1.0140213,,-0.6788226,,-1.5778456,,0.7202681,,-1.4123386
18,pixar001,run-01,splithalf-01,,-0.0025049567,,-0.66105133,,-0.5644535,,-1.49538,,-0.3494041,,-2.0162652
19,pixar001,run-01,splithalf-01,,0.38183016,,0.32186627,,0.51890105,,-1.7323822,,0.5828622,,-1.4384611
20,pixar001,run-01,splithalf-01,,-0.40411678,,0.67944497,,0.269907,,-2.2447019,,0.7553457,,-1.3054612
21,pixar001,run-01,splithalf-01,,-0.09784529,,-0.28627676,,-1.2690318,,-0.61116076,,-1.2711617,,2.3731728
22,pixar001,run-01,splithalf-01,,-1.3453727,,-0.13909426,,-0.12111511,,-0.12795214,,-0.0046197833,,0.12792878
23,pixar001,run-01,splithalf-01,,,,,,,,,,,,
24,pixar001,run-01,splithalf-01,,-0.2205278,,0.1655666,,0.43077964,,0.25821218,,0.18295929,,0.8061188
25,pixar001,run-01,splithalf-01,,-0.31031823,,-0.4667275,,0.4156522,,-0.23475142,,-0.48555714,,0.23715937
26,pixar001,run-01,splithalf-01,,,,,,,,,,,,
27,pixar001,run-01,splithalf-01,,-0.2694986,,1.1596613,,0.09426771,,-0.05959891,,1.7068694,,-0.4366552
28,pixar001,run-01,splithalf-01,,-0.7664271,,0.5030555,,1.054697,,-1.1847253,,0.9108597,,0.61944044
29,pixar001,run-01,splithalf-01,,-1.006839,,0.42489377,,1.1165819,,-1.2286533,,0.6628221,,0.4598887
30,pixar001,run-01,splithalf-01,,-0.8454466,,0.59808564,,0.95404434,,-1.2903883,,0.054070003,,-0.4208819
31,pixar001,run-01,splithalf-01,,-1.2862502,,-0.06632388,,1.2413763,,-1.0167916,,-0.3226449,,-0.22552295
32,pixar001,run-01,splithalf-01,,-1.1600854,,-0.21404728,,0.18458618,,-0.8276898,,-0.934521,,-0.32732064
33,pixar001,run-01,splithalf-01,,-1.4452041,,0.08846665,,-0.48862267,,-0.7265214,,-1.2062315,,-0.3774486
34,pixar001,run-01,splithalf-01,,-0.94598055,,0.15990058,,-0.62683743,,0.14464672,,-0.2945608,,0.39493418
35,pixar001,run-01,splithalf-01,,-0.9986475,,-0.053688854,,-0.58195037,,0.6487106,,0.019933393,,0.6194335
36,pixar001,run-01,splithalf-01,,-0.7354795,,-0.029777521,,-0.30615947,,0.3549835,,0.27480537,,0.64153016
37,pixar001,run-01,splithalf-01,,-0.65249074,,-0.21535864,,-0.86683446,,-0.1586735,,-0.7182803,,0.28322077
38,pixar001,run-01,splithalf-01,,-0.3705124,,-0.032923866,,-0.5368174,,0.10153103,,-0.09138723,,0.21298341
39,pixar001,run-01,splithalf-01,,-0.1560924,,-0.46843353,,-0.18247557,,0.14967993,,-0.35274568,,0.06663897
40,pixar001,run-01,splithalf-01,,0.019936195,,-0.118518755,,0.9817217,,0.5100537,,-0.7394765,,0.13931553
41,pixar001,run-01,splithalf-01,,0.92822444,,0.24607384,,1.093686,,0.82973754,,0.35307202,,1.6907837
42,pixar001,run-01,splithalf-01,,0.7405928,,-0.5567056,,0.47785378,,0.6195176,,-0.28859746,,1.1851856
43,pixar001,run-01,splithalf-01,,0.5021393,,-0.064545944,,-0.11908226,,0.53813714,,0.3661801,,1.5855993
44,pixar001,run-01,splithalf-01,,0.020062372,,-0.27820438,,-0.25840798,,0.4593194,,0.48037562,,1.2396759
