time,avg_rFFA,avg_lFFA,avg_rSTS,avg_lSTS,avg_rMMPFC,avg_lMMPFC
1,-0.647461057,-0.093854685,-0.387018138,-0.292334803,0.259530491,0.058699858
2,-0.510255344,-0.065954798,-0.292033342,0.028102395,0.180414672,0.326495611
3,-0.276971527,0.025038076,0.011520265,0.302840201,0.248622409,0.457269536
4,-0.174134684,-0.262555816,-0.350850429,-0.197495656,0.680532223,0.347925563
5,-0.413873255,-0.426627038,-0.39771957,-0.005272104,-0.037569974,-0.20635266
6,-0.526555666,-0.364573548,-0.509208962,0.195392967,-0.481532548,-0.079752333
7,-0.284282473,-0.415284137,-0.412989536,-0.157066261,-0.024222155,0.351603492
8,-0.418962379,-0.301258966,-0.386999475,-0.083134089,0.159127903,0.250525112
9,-0.08951607,0.025825804,-0.155199339,0.127585793,0.156319558,-0.208412267
10,0.164787069,0.165104394,-0.119379286,0.171886845,-0.425258715,-0.491851944
11,0.036746476,0.329014214,0.037125929,0.315769254,-0.621907273,-0.445428434
12,-0.034505375,-0.031613001,0.075929787,-0.045839403,-0.386271795,-0.287029076
13,-0.26976169,-0.085298055,-0.523712832,-0.04435046,-0.177863746,-0.105405023
14,-0.129621819,0.1142295,-0.519597545,0.070655783,-0.012451088,0.397773589
15,-0.019924469,0.1188212,-0.457280618,-0.133542508,-0.023884072,0.400314042
16,0.021176201,0.024720756,-0.301117749,-0.427236507,-0.377498221,-0.061841306
17,0.229282494,0.038894443,-0.074606573,-0.572252673,-0.088404912,-0.025219339
18,0.301565749,0.080479387,0.237138174,-0.33573716,0.296247818,0.225935645
19,0.390514983,0.212361548,0.426687382,0.049584671,0.265445312,0.086787194
20,0.530485201,0.175389048,0.92773542,0.239893902,0.44638971,0.410610513
21,0.462802895,0.063488786,0.574640766,0.156715966,-4.98E-04,0.11076258
22,0.394325046,0.100497583,0.561692088,0.190058127,0.152416808,-0.053550555
23,0.369126637,0.316586037,0.859214035,0.348971264,0.019964233,-0.144969601
24,0.347391561,0.264643747,0.612580246,0.426078263,0.183763662,-0.066277812
25,0.248075724,0.291006303,0.337330736,0.16507969,0.116396275,-0.101015939
26,-0.143461895,-0.232379474,-0.273496819,-0.285784423,0.063659325,-0.323797403
27,-0.425766679,-0.323971491,-0.724657545,-0.708926199,-0.266643905,-0.319457508
28,-0.15930481,-0.399242504,-0.812031575,-0.467326185,-0.233126031,-0.136451362
29,-0.674696526,-0.655194239,-0.864821907,-0.098035525,-0.06878864,0.123225666
30,-0.508382192,-0.459233658,-1.012055794,-0.360354285,-0.112837263,0.232803002
31,-0.345676839,-0.305254883,-0.508828863,-0.198274594,-0.032165161,0.30237622
32,-0.49000311,-0.306251476,-0.973288232,-0.424798538,-0.293917164,-0.197396013
33,-0.358031089,-0.171607198,-0.342646307,-0.158738286,-0.149012836,-0.440940662
34,0.033169644,0.123060658,0.125617433,0.235162551,0.045351174,-0.392177551
35,-0.075085976,-0.015071836,0.365094543,0.317957024,0.273513585,-0.318649493
36,0.103572918,0.149104217,0.470426332,0.188934292,0.467640161,0.193521726
37,0.032553887,0.038376578,0.375018315,0.002475899,0.688175099,0.24980694
38,-0.045133415,0.007508364,0.022829825,-0.119382755,0.036596819,-0.169958712
39,0.082341244,0.287047497,0.255176892,0.410523386,-0.304112351,-0.389534661
40,0.066300967,0.16792595,-0.109261689,0.100452919,-0.459845853,-0.15076782
41,0.098280349,0.247318517,0.060139853,0.218334541,-0.608915875,-0.28770097
42,0.094073686,0.327945759,0.121705355,0.051983268,-0.555113377,-0.11428166
43,0.073067783,0.256217713,0.313609365,0.202626867,-0.112666065,0.049707761
44,0.079937787,0.08826517,0.055972429,0.136930086,-0.271209859,-0.087524139
45,0.125852724,0.178230836,0.08175746,0.12799835,0.144265049,0.310360317
46,0.124756333,0.029992713,0.054166985,0.262952386,0.442041232,0.683662724
47,0.214644782,0.157665939,0.582252295,0.527003989,0.248506967,0.650975616
48,0.152271006,0.015338294,0.355978287,0.366343843,-0.07010225,0.264475753
49,0.115969135,0.142387679,0.556103051,0.519569979,-0.185707295,-0.089687353
50,-0.079792914,-0.077999242,0.332522268,0.258550024,-0.200203879,-0.324857902
51,-0.222507991,-0.237069146,0.237169373,-0.017363248,-0.167313577,-0.179325492
52,-0.384130619,-0.285333938,-0.412299724,-0.336446482,-0.067549209,0.172614415
53,-0.044198802,-0.13450585,-0.099877063,-0.272353456,0.31712349,0.214539421
54,-0.115608871,-0.142925101,-0.3214871,-0.307328035,0.587903177,0.494175754
55,-0.15381925,-0.331881931,-0.79353032,-0.605412035,0.461424397,0.039852508
56,-0.338555947,-0.210325457,-1.077241812,-0.624530522,-0.197612942,-0.467210999
57,-0.227623821,-0.098623907,-0.820266805,-0.406055532,-0.405911412,-0.489676663
58,0.068950455,0.074854084,-0.30972653,-0.131970976,-0.198442035,-0.082022604
59,0.232992289,0.35905454,0.230519555,0.167260973,0.023162204,0.179383466
60,0.205921848,0.288726433,0.52944433,0.489131611,0.327248543,0.240186765
61,0.107631673,0.199997113,0.335969731,0.149410179,0.310237184,0.004202557
62,0.00253645,0.013100026,0.089502867,-0.076165549,0.365551844,0.111295199
63,-0.024574255,-0.362235174,-0.333672734,-0.542932211,0.512926858,0.38177134
64,-0.118388435,-0.320933401,-0.197763332,-0.221343202,0.593439534,0.268633592
65,0.128965768,-0.034564138,0.453538697,0.261858446,0.358196356,0.083554794
66,0.196733304,-0.020502153,0.544270955,0.319586326,0.23690465,0.262088961
67,0.067801081,-0.079802071,0.351851175,0.140383211,0.187583084,0.204569955
68,0.244616845,0.143723361,0.547720993,0.337179891,0.286424473,0.298623155
69,0.131632079,0.086054656,0.374298465,0.306023859,0.081502476,0.017175181
70,0.231432873,0.09404893,0.642081458,0.370657826,0.158279841,0.274525732
71,-0.065025348,0.002875908,0.15249483,-0.047813988,-0.58905085,-0.34913083
72,-0.27885201,-0.08374041,-0.456661801,-0.261629815,-1.228349198,-0.515241363
73,0.008143963,0.145422496,-0.300103061,-0.264967216,-0.846566029,-0.419498774
74,-0.041624998,0.14819526,-0.312694358,-0.404229445,-0.502667215,-0.262081793
75,0.197457757,0.256149806,-0.09644834,-0.217820317,-0.465414318,-0.467879805
76,0.021723163,-0.037704967,-0.123228801,-0.230094442,-0.253245868,-0.231913827
77,0.154368657,0.091655767,0.185183861,-0.011634545,-0.262107153,-0.566288591
78,0.062136358,-0.010512119,0.299033643,0.342925933,0.164048592,-0.219005563
79,-0.171080578,-0.173574439,-0.139889197,0.094764673,0.11682273,-0.105099904
80,-0.321948153,-0.200926348,-0.762214929,-0.392918585,-0.253836744,-0.106494038
81,-0.28081182,-0.131377361,-0.831697558,-0.45436194,0.01927153,-0.242871707
82,-0.152524412,-0.017326091,-0.387937302,-0.324537241,-0.025030683,-0.289546474
83,-0.005144411,-0.097912299,-0.141210586,0.119200585,-0.054652897,0.045869414
84,-0.003562558,0.081821383,0.284449094,0.394878175,0.180082569,0.125304695
85,-0.0824591,-0.11962565,0.170897374,0.387181723,0.073304072,-0.083264937
86,-0.064989438,-0.042012742,0.480330997,0.567159167,0.241789028,-0.099184056
87,-0.113971702,0.040636045,0.146215683,0.020792364,-0.096262499,-0.320109086
88,0.087640692,0.298831006,-0.100544373,-0.08438671,-0.210012952,-0.369452418
89,0.215288559,0.403105198,0.285739593,0.099585172,-0.319316739,-0.314426773
90,0.322730724,0.369888471,-0.032578213,0.01820041,0.040668792,0.36905135
91,0.181600227,0.09558346,-0.020939345,-0.054434968,0.382773133,0.507916359
92,0.035173861,-0.018207402,-0.163777516,-0.096879896,-0.230019466,0.078026934
93,0.203471809,0.131167075,-0.067749035,-0.209565109,-0.125326777,0.258142008
94,0.014906149,-0.002356734,-0.074232164,-0.067313871,0.091272968,0.363526539
95,0.120270951,-0.098172802,0.316546133,0.441605116,0.376159631,0.595429961
96,0.122770729,0.067027292,0.73482659,0.654573398,0.642756358,0.590414418
97,0.124285148,0.033823636,0.870514664,0.630698141,0.917668667,0.880407788
98,0.147658989,0.029137229,0.60483785,0.297172322,0.790173037,0.699378673
99,-0.175597702,-0.307566769,0.172891644,0.025351914,0.512319922,0.379100607
100,-0.188575577,-0.377247183,-0.192398078,-0.368836674,-0.146150067,-0.224320885
101,-0.388237551,-0.325736707,-0.446541124,-0.448260247,-0.304749403,-0.240264362
102,-0.455642285,-0.455595708,-0.986990249,-0.423835404,-0.156774291,0.017278046
103,-0.342552112,-0.482826111,-0.422250005,-0.33958526,0.152642849,0.211540531
104,-0.207617693,-0.135726085,-0.18508281,-0.08040857,0.313719428,0.189819975
105,-0.100509817,-0.045196634,-0.06715594,0.119185655,0.132152463,0.092320025
106,-0.058403466,0.002049131,0.046876072,0.049728394,-0.146885807,-0.250652208
107,0.193140023,0.293093747,0.223360572,0.235500784,-0.169178932,-0.412904803
108,0.197282908,0.287516457,0.463513471,0.235894893,-0.375285358,-0.506453427
109,0.215474669,0.288211944,0.262759056,-0.098119744,-0.364008963,-0.235023595
110,0.124523573,0.194924377,-0.240605443,-0.360599851,0.105681511,0.292228366
111,-0.004789321,0.111890959,-0.517223724,-0.43312413,-0.026258082,-0.083870313
112,-0.100788227,-0.096379886,-0.418060901,-0.349129692,-0.214939563,-0.568602826
113,-0.025797331,-0.090726891,-0.714965017,-0.59385537,-0.18911749,-0.372246253
114,-0.037813921,-0.184450824,-0.625196217,-0.399393949,-0.286939528,-0.506399857
115,0.026838182,-0.099366787,-0.015690186,-0.066260298,0.228796345,-0.11591691
116,0.342580221,0.27985761,0.354700455,0.197967202,-0.095859336,-0.483930636
117,0.319684815,0.272864518,0.012594944,-0.069776256,-0.315118843,-0.450626879
118,0.275040442,0.275543087,-0.039725339,0.009636526,-0.773342959,-0.422915907
119,0.123106232,0.206482085,-0.237124547,-0.019988888,-0.597377162,-0.249459012
120,0.251668339,0.33049568,0.487055603,0.41411502,-0.120528156,0.069278431
121,0.180897319,0.170223154,0.473472743,0.418313831,-0.097608381,0.317197021
122,-0.005495633,0.001503342,0.28862943,0.193366375,0.349424311,0.2918903
123,-0.056108658,-0.093391532,0.07591425,0.044173455,0.180346918,0.221043344
124,0.061825517,0.028433999,0.173457753,0.040377201,-0.154554161,-0.130030482
125,-0.054348552,0.058479606,0.355753323,0.193401028,-0.313142748,0.076000078
126,0.046725881,0.037620992,0.266268993,0.240583361,-0.130065938,0.167529995
127,-0.25362207,-0.32728118,0.156867337,0.123618866,0.10699993,0.192542766
128,-0.231425167,-0.43006805,0.195393106,-0.080940606,0.51355971,0.365666541
129,-0.449572959,-0.410962594,-0.180262009,-0.302218803,0.53278772,0.214383438
130,-0.269349402,-0.223096334,0.108946348,0.153303428,0.80898238,0.691748186
131,0.045486861,0.103569777,0.634547619,0.678247379,0.931355395,0.755966608
132,0.080686384,0.010509198,0.667800903,0.65560972,0.574021268,0.345857163
133,0.080806388,0.058467587,0.482747939,0.166447759,0.283691686,-0.08401438
134,0.057235422,0.28386107,0.136156777,-0.247067579,-0.298699124,-0.412683933
135,0.051746596,0.133168703,-0.41313335,-0.457754864,-0.412276869,-0.285732249
136,0.096038755,0.030198616,-0.497182024,-0.416643585,-0.403493855,-0.27539441
137,-0.090478407,-0.042368583,-0.454816301,-0.154065471,-0.367275325,-0.318791859
138,-0.083051544,-0.004102261,-0.577267238,-0.165369766,-0.128893269,-0.139150033
139,-0.144822859,0.034275291,-0.124834104,0.217990359,0.058458853,-0.020946175
140,0.136158936,-0.036825149,0.031901055,0.10268828,0.28320812,0.184664792
141,-0.005687306,-0.015884966,0.25498012,0.195974537,-0.263230579,-0.045379687
142,-0.013236701,-0.071431502,0.215257773,0.163641636,-0.555727446,-0.095592022
143,0.048487826,0.090825512,-0.223808194,-0.007311047,-0.377505827,0.006258376
144,-0.107101586,-0.148787067,-0.497292668,-0.064821675,-0.287926905,-0.029263428
145,-0.145351069,-0.192368496,-0.242713971,0.038300016,-0.264315441,-0.040805145
146,-0.342098158,-0.065707501,-0.480735848,-0.250398363,-0.200518137,-0.205965565
147,-0.214908425,-0.284736038,-0.972280624,-0.43813336,0.003326322,-0.376757711
148,-0.137103935,-0.26505739,-0.759936137,-0.439970073,0.217430733,-0.125944079
149,-0.186844628,-0.19666087,-0.381021977,-0.346250275,0.216696571,0.312230787
150,0.138875484,0.004175502,-0.374222501,-0.24641551,0.245077475,0.584052136
151,-0.133911403,0.07387106,-0.581069293,-0.470759148,0.146566776,0.210100196
152,0.149867047,0.307847388,-0.48998567,-0.292034954,0.193713839,0.251368552
153,0.14321474,0.185826253,0.12025289,0.366205964,0.380617541,0.378309772
154,0.041257744,0.170769266,0.554666787,0.526878888,0.476100841,0.48572262
